------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,          1112.699159
               0.001,          1097.552364
               0.002,           985.175545
               0.003,           802.738736
               0.004,           857.216044
               0.005,           882.579285
               0.006,          1004.392236
               0.007,          1039.416266
               0.008,          1039.775073
               0.009,           1061.42162
                0.01,           938.427139
               0.011,          1123.801233
               0.012,          1150.235405
               0.013,          1176.731521
               0.014,          1417.363298
               0.015,          1745.268484
               0.016,           1754.58787
               0.017,          1796.087084
               0.018,          2006.732988
               0.019,          2069.238651
                0.02,          2267.734486
               0.021,          2139.860116
               0.022,           1858.43612
               0.023,          2111.541431
               0.024,          2081.796621
               0.025,          2277.002151
               0.026,          2097.107904
               0.027,          2254.051484
               0.028,          2366.758695
               0.029,          2518.853776
                0.03,          2801.536518
               0.031,          2940.429834
               0.032,          3159.495169
               0.033,          3101.519763
               0.034,          3120.087748
               0.035,          3146.666916
               0.036,          3313.671263
               0.037,           3148.71742
               0.038,           3292.61793
               0.039,          3431.832106
                0.04,          3290.291824
               0.041,          3527.360937
               0.042,          3595.810151
               0.043,          3861.257354
               0.044,          3806.414419
               0.045,          3781.685698
               0.046,          3773.855218
               0.047,          3792.824754
               0.048,          3658.022438
               0.049,          3440.454297
                0.05,          3363.404019
               0.051,          3523.062501
               0.052,           3766.36009
               0.053,          3684.283737
               0.054,          3598.065509
               0.055,          3835.417034
               0.056,          3676.670817
               0.057,          3786.249907
               0.058,          3678.225923
               0.059,           3823.90619
                0.06,           3908.10422
               0.061,          3958.848769
               0.062,          3738.749468
               0.063,           3667.67996
               0.064,          3550.029084
               0.065,          3314.698727
               0.066,          3273.900526
               0.067,          3451.922922
               0.068,          3367.773714
               0.069,          3364.488148
                0.07,          3263.292442
               0.071,          3125.756596
               0.072,          3160.091658
               0.073,          3321.574663
               0.074,          3337.702393
               0.075,           3415.50884
               0.076,          3354.648489
               0.077,          3354.196795
               0.078,          3191.123434
               0.079,          3164.303449
                0.08,          3177.429869
               0.081,          3242.499714
               0.082,          3072.916314
               0.083,          3006.915565
               0.084,          3206.735981
               0.085,          3252.087932
               0.086,          3408.713368
               0.087,          3441.416968
               0.088,           3450.59613
               0.089,          3454.550581
                0.09,          3470.599197
               0.091,          3480.387695
               0.092,          3395.634855
               0.093,          3380.692009
               0.094,          3380.419685
               0.095,          3446.269546
               0.096,          3493.905972
               0.097,          3573.347168
               0.098,          3737.043798
               0.099,          3982.214311
                 0.1,          4018.768021
               0.101,          4076.044659
               0.102,          4274.858686
               0.103,          4462.963571
               0.104,          4636.422542
               0.105,          4700.138745
               0.106,          4652.914856
               0.107,          4531.800584
               0.108,          4584.793025
               0.109,          4806.358952
                0.11,           4780.19062
               0.111,          4751.557827
               0.112,          4479.789287
               0.113,          4528.361828
               0.114,          4486.407645
               0.115,          4511.523279
               0.116,          4364.449854
               0.117,          4539.173319
               0.118,          4744.495249
               0.119,          4803.642211
                0.12,          4873.546023
               0.121,          4985.430484
               0.122,          4945.411165
               0.123,          4896.212407
               0.124,          5264.062781
               0.125,          5353.842926
               0.126,          5337.900381
               0.127,          5415.728663
               0.128,          5545.872621
               0.129,          5573.166075
                0.13,          5606.643757
               0.131,          5510.688329
               0.132,          5813.016275
               0.133,          5939.976994
               0.134,          6063.041322
               0.135,          6255.450164
               0.136,          6273.846454
               0.137,          6272.633052
               0.138,          6342.334294
               0.139,          6355.302777
                0.14,          6236.612823
               0.141,          6316.208673
               0.142,          6531.438493
               0.143,          6592.516129
               0.144,          6626.640929
               0.145,          6480.674597
               0.146,          6382.191449
               0.147,          6528.037799
               0.148,          6639.854737
               0.149,          6743.441393
                0.15,          6640.013084
               0.151,          6713.843407
               0.152,          6799.020647
               0.153,          6820.125624
               0.154,          6805.557054
               0.155,           6843.96186
               0.156,          7025.139658
               0.157,          6921.405774
               0.158,          7332.234961
               0.159,          7343.735548
                0.16,          7400.977665
               0.161,          7331.021253
               0.162,          7418.440723
               0.163,          7260.491384
               0.164,          7197.738327
               0.165,          7378.875362
               0.166,          7602.733344
               0.167,          7927.326494
               0.168,          7860.185596
               0.169,          7868.502682
                0.17,          7920.200446
               0.171,          7928.855698
               0.172,          7928.574441
               0.173,          7862.053566
               0.174,          7916.632261
               0.175,          8037.641733
               0.176,          8067.875867
               0.177,          8346.167031
               0.178,           8632.91863
               0.179,          8664.385922
