------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,          2358.868675
              0.0005,          2431.671079
               0.001,          2439.456131
              0.0015,          2513.682279
               0.002,          2518.771233
              0.0025,          2561.347116
               0.003,          2568.354454
              0.0035,          2570.811616
               0.004,          2570.327478
              0.0045,           2501.13694
               0.005,          2596.741537
              0.0055,          2660.294439
               0.006,           2662.61048
              0.0065,          2412.885262
               0.007,          2225.579941
              0.0075,          2278.877269
               0.008,          2371.355977
              0.0085,          2603.380939
               0.009,          2533.027997
              0.0095,          2571.745021
                0.01,          2627.373358
              0.0105,          2517.954505
               0.011,          2379.870932
              0.0115,          2228.166894
               0.012,          2247.854044
              0.0125,          2335.561491
               0.013,          2342.389801
              0.0135,          2085.755904
               0.014,          2089.825512
              0.0145,          2031.695848
               0.015,          2028.757991
              0.0155,          2066.473729
               0.016,          2235.321728
              0.0165,          2213.247898
               0.017,          2234.991498
              0.0175,          2097.246937
               0.018,          2354.016858
              0.0185,          2253.613757
               0.019,          2265.331312
              0.0195,          2384.388493
                0.02,          2462.840441
              0.0205,          2497.061371
               0.021,          2372.972247
              0.0215,          2328.165401
               0.022,           2289.21935
              0.0225,          2169.902364
               0.023,           2186.27615
              0.0235,          2037.330054
               0.024,          1906.512133
              0.0245,          1865.544395
               0.025,          1848.462665
              0.0255,          1832.409754
               0.026,          1777.219433
              0.0265,          1721.000462
               0.027,          1744.889346
              0.0275,           1763.33415
               0.028,          2058.990653
              0.0285,          2123.051727
               0.029,          2076.236348
              0.0295,          2143.180683
                0.03,          1857.126343
              0.0305,          1684.184418
               0.031,           1750.73235
              0.0315,          1945.553511
               0.032,          2041.293402
              0.0325,          1997.180602
               0.033,          2104.627877
              0.0335,          2180.802096
               0.034,          2255.010557
              0.0345,          2284.585866
               0.035,          2431.061213
              0.0355,          2250.905603
               0.036,          2321.154628
              0.0365,          2291.229405
               0.037,          2327.765257
              0.0375,          2483.460754
               0.038,          2361.965127
              0.0385,          2430.683255
               0.039,          2478.866782
              0.0395,           2427.78303
                0.04,          2498.569968
              0.0405,          2623.946721
               0.041,          2467.895582
              0.0415,          2420.809266
               0.042,           2395.56909
              0.0425,          2546.149353
               0.043,          2586.341215
              0.0435,          2524.513229
               0.044,            2600.0864
              0.0445,          2682.010959
               0.045,          2933.278739
              0.0455,           3172.77753
               0.046,          3160.983104
              0.0465,          3063.759019
               0.047,           3057.39893
              0.0475,          3028.440339
               0.048,          3238.378903
              0.0485,          3200.794264
               0.049,          3281.356237
              0.0495,          3308.515136
                0.05,          3270.543741
              0.0505,          3259.290661
               0.051,           3287.64466
              0.0515,           3534.07717
               0.052,           3537.18032
              0.0525,           3464.02436
               0.053,          3285.713619
              0.0535,          3148.126595
               0.054,          3164.771836
              0.0545,          3251.300103
               0.055,          3228.061332
              0.0555,          3273.476079
               0.056,          3338.352476
              0.0565,          3331.688771
               0.057,          3311.801607
              0.0575,           3380.29673
               0.058,          3351.627019
              0.0585,          3335.130632
               0.059,          3312.006306
              0.0595,          3289.018819
                0.06,          3163.099974
              0.0605,           3181.80405
               0.061,          3212.328053
              0.0615,          3198.268686
               0.062,          3138.800095
              0.0625,          3012.288631
               0.063,          2823.846954
              0.0635,          2853.141413
               0.064,          3074.146893
              0.0645,          3276.635824
               0.065,          3101.905994
              0.0655,          3211.117186
               0.066,          3204.720192
              0.0665,          3169.440175
               0.067,          3370.703938
              0.0675,          3457.431111
               0.068,          3645.894834
              0.0685,          3639.194694
               0.069,           3713.32031
              0.0695,          3770.477301
                0.07,          3808.115133
              0.0705,          3900.225694
               0.071,          4042.767173
              0.0715,          4009.347814
               0.072,          4153.814545
              0.0725,          4154.450113
               0.073,          4281.251053
              0.0735,          4270.334259
               0.074,          4313.305819
              0.0745,          4355.345735
               0.075,          4288.287454
              0.0755,          4291.172512
               0.076,          4324.571803
              0.0765,          4495.814836
               0.077,          4574.332966
              0.0775,          4509.596696
               0.078,          4426.089952
              0.0785,          4496.641227
               0.079,           4376.34645
              0.0795,          4494.081124
                0.08,          4516.247102
              0.0805,          4551.825961
               0.081,          4586.807909
              0.0815,          4653.520327
               0.082,          4717.981633
              0.0825,          4649.031173
               0.083,           4611.38888
              0.0835,          4716.958706
               0.084,          4673.951876
              0.0845,          4720.665793
               0.085,          4633.281091
              0.0855,          4801.394201
               0.086,          4900.794499
              0.0865,          4943.593966
               0.087,          4991.210495
              0.0875,           5204.08986
               0.088,          5265.373197
              0.0885,          5248.304933
               0.089,           5366.55408
              0.0895,          5290.215551
                0.09,           5333.24358
              0.0905,           5275.21348
               0.091,          5320.677372
              0.0915,          5364.593558
               0.092,          5247.988662
              0.0925,          5282.085605
               0.093,          5397.366981
              0.0935,          5342.526989
               0.094,          5295.231524
              0.0945,          5295.492495
               0.095,           5218.66686
              0.0955,          5293.140575
               0.096,          5397.523265
              0.0965,          5387.065204
               0.097,          5437.910641
              0.0975,          5487.090886
               0.098,          5542.704457
              0.0985,          5612.507466
               0.099,          5619.970252
              0.0995,          5425.219434
                 0.1,          5342.151564
              0.1005,          5335.686862
               0.101,          5293.504591
              0.1015,          5444.210033
               0.102,          5419.637129
              0.1025,          5350.227393
               0.103,          5310.883073
              0.1035,          5231.111126
               0.104,          5287.698568
              0.1045,          5268.776015
               0.105,          5433.049679
              0.1055,          5221.786439
               0.106,          5238.634103
              0.1065,          5118.782242
               0.107,          5124.858544
              0.1075,          5017.977045
               0.108,          4974.274975
              0.1085,           5127.45209
               0.109,          5132.962262
              0.1095,          5038.221794
                0.11,          4968.476084
              0.1105,          5095.545035
               0.111,          5109.465896
              0.1115,          5105.958713
               0.112,          5099.581602
              0.1125,          4940.579798
               0.113,          5086.558566
              0.1135,          5135.682945
               0.114,          5199.895887
              0.1145,           5180.56864
               0.115,          5219.543486
              0.1155,          5375.046971
               0.116,          5313.385623
              0.1165,          5256.754534
               0.117,          5295.302341
              0.1175,           5358.68826
               0.118,          5306.350114
              0.1185,          5310.293037
               0.119,          5324.854456
              0.1195,          5208.151492
                0.12,          5114.792454
              0.1205,          5026.720717
               0.121,          4935.916379
              0.1215,          5041.278602
               0.122,          5149.889203
              0.1225,          5173.940704
               0.123,          5260.941751
              0.1235,          5311.031006
               0.124,          5300.527472
              0.1245,          5291.551459
               0.125,          5292.353633
              0.1255,          5287.431254
               0.126,          5291.777092
              0.1265,          5299.395791
               0.127,          5520.931618
              0.1275,          5542.717718
               0.128,          5609.031526
              0.1285,          5713.439217
               0.129,          5696.926076
              0.1295,          5759.156614
                0.13,          5488.536558
              0.1305,          5690.056801
               0.131,          5840.812315
              0.1315,          5882.188437
               0.132,          5815.288927
              0.1325,          5799.397568
               0.133,          5774.612052
              0.1335,          5762.535471
               0.134,          5710.092836
              0.1345,          5729.374866
               0.135,           5838.87972
              0.1355,          6003.827174
               0.136,          5932.745597
              0.1365,          5992.116394
               0.137,          6000.958539
              0.1375,          5933.759301
               0.138,          5988.539722
              0.1385,           6080.33158
               0.139,          6124.099279
              0.1395,          6200.697442
                0.14,          6163.574933
              0.1405,          5973.547704
               0.141,          6204.026644
              0.1415,          6288.658469
               0.142,          6248.037247
              0.1425,          6334.286615
               0.143,          6365.025212
              0.1435,          6390.509489
               0.144,          6315.909451
              0.1445,           6315.04072
               0.145,           6273.97895
              0.1455,          6434.573649
               0.146,          6369.587407
              0.1465,          6506.011901
               0.147,          6422.501428
              0.1475,          6448.519827
               0.148,          6483.979184
              0.1485,          6542.198573
               0.149,          6651.900929
              0.1495,          6773.327287
                0.15,          6865.441137
              0.1505,          6874.753026
               0.151,          6817.589051
              0.1515,          6848.033938
               0.152,          6842.983998
              0.1525,          6697.007765
               0.153,           6977.02566
              0.1535,          6821.805467
               0.154,          6890.487537
              0.1545,           6985.03983
               0.155,          6956.994272
              0.1555,          6873.731242
               0.156,          7114.492145
              0.1565,           7120.30515
               0.157,          7176.611329
              0.1575,          7230.408704
               0.158,          7245.454287
              0.1585,          7092.331561
               0.159,          7198.050109
              0.1595,          7125.856179
                0.16,          6983.247871
              0.1605,          7063.518329
               0.161,          7094.860719
              0.1615,           7106.59016
               0.162,          7067.215775
              0.1625,          7185.863258
               0.163,          7172.303605
              0.1635,          7177.975865
               0.164,            7160.9268
              0.1645,           7026.41486
               0.165,          7185.302149
              0.1655,          7192.704822
               0.166,          7121.502137
              0.1665,          7101.201562
               0.167,          7189.649888
              0.1675,          7311.617441
               0.168,          7364.519717
              0.1685,          7456.822124
               0.169,          7542.121925
              0.1695,          7601.458594
                0.17,          7665.946129
              0.1705,          7602.538579
               0.171,          7582.780631
              0.1715,          7538.033769
               0.172,          7589.905559
              0.1725,          7473.796813
               0.173,          7585.623856
              0.1735,          7520.435514
               0.174,          7404.977288
              0.1745,          7409.739786
               0.175,          7552.043867
              0.1755,          7629.997467
               0.176,          7568.933156
              0.1765,          7599.527697
               0.177,          7552.136597
              0.1775,          7545.572798
               0.178,          7576.779581
              0.1785,          7529.047265
               0.179,          7714.345601
              0.1795,          7786.342633
                0.18,          7823.232202
              0.1805,          7699.883481
               0.181,          7690.340725
              0.1815,          7702.844881
               0.182,          7784.358529
              0.1825,          7843.293783
               0.183,          7886.192284
              0.1835,            7769.9745
               0.184,          7914.010499
              0.1845,          7974.242902
               0.185,          8020.894739
              0.1855,          7905.677312
               0.186,          7988.483907
              0.1865,          8054.914418
               0.187,          7981.172484
              0.1875,          7899.541668
               0.188,          7792.481511
              0.1885,          7806.493584
               0.189,          7672.392366
              0.1895,          7773.560141
                0.19,          7740.130872
              0.1905,          7681.896853
               0.191,          7702.015588
              0.1915,          7686.610839
               0.192,          7585.967127
              0.1925,          7485.320026
               0.193,          7482.561248
              0.1935,          7612.872021
               0.194,          7609.741733
              0.1945,          7608.579631
               0.195,          7768.259352
              0.1955,          7900.829874
               0.196,          7913.040652
              0.1965,          7979.089538
               0.197,          7831.859103
              0.1975,          7800.795684
               0.198,          7778.184971
              0.1985,          7814.771982
               0.199,          7792.550721
              0.1995,          7867.971349
                 0.2,          7986.320922
              0.2005,           7891.03386
               0.201,          7783.472887
              0.2015,          7888.270341
               0.202,          7838.867615
              0.2025,          7988.843698
               0.203,          8027.726279
              0.2035,          7811.596775
               0.204,          7679.353095
              0.2045,          7830.500826
               0.205,            7870.3752
              0.2055,            7594.8998
               0.206,          7544.369343
              0.2065,          7551.366568
               0.207,          7548.451533
              0.2075,          7449.100441
               0.208,          7420.234581
              0.2085,           7290.17762
               0.209,          7303.013351
              0.2095,          7441.908723
                0.21,          7329.287125
              0.2105,          7059.640828
               0.211,          7083.591609
              0.2115,           7058.96168
               0.212,          6957.349959
              0.2125,          7012.824435
               0.213,          7060.269736
              0.2135,            6990.2117
               0.214,          6962.456853
              0.2145,          7045.498604
               0.215,           7131.76697
              0.2155,          7072.226074
               0.216,          6994.507079
              0.2165,          7023.968811
               0.217,          7068.908825
              0.2175,          7118.566432
               0.218,          7099.692477
              0.2185,           7055.98395
               0.219,          7017.840524
              0.2195,           6877.91613
                0.22,          6880.153873
              0.2205,          6826.071713
               0.221,          6943.733472
              0.2215,           7145.54639
               0.222,          7113.411045
              0.2225,          7223.577146
               0.223,          7115.998859
              0.2235,          7126.571585
               0.224,           7063.68872
              0.2245,          7270.058125
               0.225,          7116.532389
              0.2255,          7131.020587
               0.226,          7129.069584
              0.2265,          7013.089325
               0.227,          6945.500515
              0.2275,             6883.027
               0.228,          6944.269624
              0.2285,          7051.218088
               0.229,          7077.591292
              0.2295,          7037.348991
                0.23,          7060.685285
              0.2305,          7039.381155
               0.231,          7185.513459
              0.2315,          7299.447252
               0.232,          7150.233108
              0.2325,          7355.298211
               0.233,          7360.234502
              0.2335,          7429.837046
               0.234,          7468.693639
              0.2345,          7424.932945
               0.235,          7511.567031
              0.2355,          7520.969443
               0.236,          7580.433193
              0.2365,          7589.538943
               0.237,          7616.151043
              0.2375,          7616.680507
               0.238,          7657.902352
              0.2385,           7763.99879
               0.239,          7759.561049
              0.2395,          7914.496435
                0.24,          8026.859084
              0.2405,          8194.633559
               0.241,          8153.392093
              0.2415,          8249.740764
               0.242,          8292.940852
              0.2425,          8305.157594
               0.243,          8322.630856
              0.2435,          8386.401424
               0.244,          8326.624035
              0.2445,          8540.264523
               0.245,          8582.996808
              0.2455,          8411.762688
