#------------------------------------------------------------
# Velocity Vs Time
#------------------------------------------------------------
#Time (ps), Velocity (m/s)
                   0,          2131.228512
                0.01,          1840.953728
                0.02,          1984.327079
                0.03,          2517.027103
                0.04,          2092.295529
                0.05,           1796.04477
                0.06,          2197.431778
                0.07,           2353.75722
                0.08,          2703.942442
                0.09,          2860.473908
                 0.1,          2336.404898
                0.11,          2414.484456
                0.12,          2393.903268
                0.13,          1720.929828
                0.14,          2179.910793
                0.15,          1839.668017
                0.16,          1588.588964
                0.17,          1690.485914
                0.18,          2088.286428
                0.19,          1971.812441
                 0.2,          2606.338618
                0.21,          2378.325863
                0.22,          2023.102394
                0.23,          2692.242355
                0.24,          2521.694494
                0.25,          2301.305122
                0.26,          2228.770167
                0.27,          2208.792527
                0.28,          1791.731735
                0.29,          1523.506137
                 0.3,          1139.748972
                0.31,           916.653625
                0.32,          1673.656066
                0.33,          2455.330461
                0.34,          1845.312382
                0.35,          1816.056632
                0.36,          2175.457988
                0.37,           2784.34628
                0.38,          2945.300367
                0.39,          2851.433776
                 0.4,          3078.220793
                0.41,           2494.78773
                0.42,          2789.360607
                0.43,          2677.129224
                0.44,          2141.998946
                0.45,          2093.346757
                0.46,          2259.499588
                0.47,          2325.244489
                0.48,          1985.721333
                0.49,          1449.664929
                 0.5,          1697.284534
                0.51,          1800.096466
                0.52,          1714.318791
                0.53,          1938.233399
                0.54,          3188.672353
                0.55,          3038.747396
                0.56,          3143.601577
                0.57,          2681.394514
                0.58,          2873.950731
                0.59,          2671.734957
                 0.6,          2645.372034
                0.61,            3094.5447
                0.62,          2645.546323
                0.63,          2501.742148
                0.64,          2395.882855
                0.65,          2070.813341
                0.66,          2439.727399
                0.67,          2018.296511
                0.68,           2810.09028
                0.69,          2909.049207
                 0.7,          2760.139996
                0.71,          2960.550382
                0.72,          3310.289674
                0.73,          3541.077328
                0.74,          3076.178691
                0.75,          2958.309822
                0.76,          3333.147266
                0.77,            3257.3507
                0.78,          3090.012702
                0.79,          2757.856453
                 0.8,          2590.950335
                0.81,          2371.934235
                0.82,          2550.131138
                0.83,          2810.912437
                0.84,          2985.136457
                0.85,          3383.402517
