------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,          3204.359763
                0.01,          3264.308477
                0.02,          2775.665553
                0.03,          2460.672085
                0.04,          3196.428407
                0.05,          2369.215026
                0.06,          2421.868286
                0.07,          1603.244665
                0.08,          2350.059418
                0.09,          2072.569919
                 0.1,          3130.613743
                0.11,          2462.162417
                0.12,          2061.825852
                0.13,          1854.125212
                0.14,          2119.570801
                0.15,          2104.182029
                0.16,          2361.309913
                0.17,           3057.50625
                0.18,          3306.419294
                0.19,          3698.742621
                 0.2,          4002.306993
                0.21,          3763.382055
                0.22,          3980.596497
                0.23,          4073.349028
                0.24,          4013.220748
                0.25,          4499.283182
                0.26,          4129.067478
                0.27,          4354.974137
                0.28,          3706.530508
                0.29,          4127.819148
                 0.3,            3597.3387
                0.31,          3694.275148
                0.32,          3323.729672
                0.33,          3218.692701
                0.34,          2975.391315
                0.35,          3020.178116
                0.36,          3656.563254
                0.37,           3916.46265
                0.38,          3780.039705
                0.39,          3823.177159
                 0.4,          3479.601548
                0.41,          3451.674039
                0.42,          3583.142851
                0.43,             2922.102
                0.44,          2683.753505
                0.45,           2708.80657
                0.46,          2667.857533
                0.47,          2537.045276
                0.48,          3045.808178
                0.49,          2751.564275
                 0.5,          3077.868671
                0.51,          3066.438371
                0.52,          3833.781033
                0.53,          3561.319181
                0.54,          3615.519265
                0.55,          4274.463333
                0.56,          4218.181639
                0.57,          4186.174478
                0.58,          4120.780308
                0.59,          4146.031542
                 0.6,           3686.12226
                0.61,          4186.254068
                0.62,          3872.680768
                0.63,          4095.283004
                0.64,          4530.502731
                0.65,          4247.815586
                0.66,          4136.355733
                0.67,          4459.912489
                0.68,          4370.327938
                0.69,          4060.386508
                 0.7,          3828.183099
                0.71,          4255.823303
                0.72,          4008.941843
                0.73,          4264.325386
                0.74,          3976.396458
                0.75,          4243.508335
                0.76,          4527.869191
                0.77,          4311.696925
                0.78,          4490.136478
                0.79,          4422.873185
                 0.8,          4038.747799
                0.81,          4724.666352
                0.82,          4693.233077
                0.83,          4423.824328
                0.84,          4562.935429
                0.85,          4937.594232
                0.86,          5200.115784
                0.87,          5031.939299
                0.88,          4089.565012
                0.89,           4338.22718
                 0.9,          4764.471158
                0.91,          4565.467875
                0.92,          4618.762457
                0.93,          5083.733479
                0.94,           3989.20464
                0.95,          3754.436916
                0.96,          3622.214776
                0.97,           3640.15856
                0.98,          3349.842325
                0.99,          3829.120611
                   1,          3970.153654
                1.01,          4398.790596
                1.02,          4406.089308
                1.03,          4625.493836
                1.04,          4999.804311
                1.05,          5022.144803
                1.06,          4874.557361
                1.07,          5167.627353
                1.08,           5547.29397
                1.09,          5020.238548
                 1.1,          4633.300925
                1.11,          4337.110143
                1.12,          4466.315423
                1.13,           4807.05031
                1.14,          4553.210564
                1.15,           5090.66016
                1.16,          5431.461615
                1.17,          5162.278049
                1.18,          5265.562734
                1.19,          4482.293368
                 1.2,          5079.289229
                1.21,          5146.081453
                1.22,          5111.906901
                1.23,          4522.397043
                1.24,          4677.602788
                1.25,           5316.36316
                1.26,          4592.058376
                1.27,          4551.520122
                1.28,          4645.806611
                1.29,          4919.831457
                 1.3,          5394.137626
                1.31,          5970.287461
                1.32,          5780.585707
                1.33,          5329.950233
                1.34,          5070.095014
                1.35,          5384.378634
                1.36,          5886.357762
                1.37,          6465.373586
                1.38,          6239.952765
                1.39,          6587.858369
                 1.4,           6055.69971
                1.41,          6033.567605
                1.42,          6450.908939
                1.43,          6360.709099
                1.44,          5798.455332
                1.45,          6090.091492
                1.46,          6071.032323
                1.47,          6091.803827
                1.48,          5903.129675
                1.49,          5363.448157
                 1.5,          4852.973053
                1.51,          4227.413007
                1.52,          4129.065099
                1.53,          4130.188713
                1.54,          4248.786642
                1.55,          4317.992477
                1.56,          4449.195077
                1.57,          4627.044638
                1.58,          4068.989166
                1.59,          3634.887176
                 1.6,          3487.035073
                1.61,          3797.770261
                1.62,          3823.741407
                1.63,          4119.775021
                1.64,          3936.887064
                1.65,          4151.380111
                1.66,          4259.057693
                1.67,          4758.072686
                1.68,           4648.03343
                1.69,          4619.673318
                 1.7,          4575.967826
                1.71,          4424.569397
                1.72,          4596.780574
                1.73,          4263.121716
                1.74,          4416.955894
                1.75,          4610.636754
                1.76,          5265.766357
                1.77,          4972.370531
                1.78,          4853.801578
                1.79,           5068.45601
                 1.8,          5323.580993
                1.81,          4603.140276
                1.82,          4189.958197
                1.83,          4629.734708
                1.84,          4577.741066
                1.85,          4772.464224
                1.86,          5214.279789
                1.87,          5541.208585
                1.88,          5107.835896
                1.89,          5474.953416
                 1.9,          5447.099163
                1.91,          5510.424109
                1.92,          5435.979816
                1.93,          5242.845952
                1.94,          5353.797905
                1.95,          5927.174618
                1.96,          5868.093472
                1.97,          5472.591136
                1.98,          5345.314343
                1.99,          5366.308546
                   2,          5306.922009
                2.01,          5181.250376
                2.02,          5267.429823
                2.03,          5355.275177
                2.04,          5585.108331
                2.05,          5577.476221
                2.06,          5555.431717
                2.07,          5572.455898
                2.08,          5442.759047
                2.09,           5278.58255
                 2.1,          5254.967267
                2.11,          5333.961594
                2.12,          5636.587095
                2.13,          5835.917856
                2.14,          5452.463061
                2.15,          5356.180813
                2.16,          6115.647936
                2.17,          6442.732325
                2.18,          6703.557662
                2.19,           7168.35853
                 2.2,          7062.676719
                2.21,          7033.024414
                2.22,           7078.37745
                2.23,           7618.14601
                2.24,           7728.81053
                2.25,          7140.741027
                2.26,          7009.880498
                2.27,          6853.144575
                2.28,          6597.108549
                2.29,          6434.851188
                 2.3,          6245.990548
                2.31,          6230.634991
                2.32,          5972.384555
                2.33,          5669.889966
                2.34,          6091.858619
                2.35,          5765.126143
                2.36,          5992.290049
                2.37,          5989.725784
                2.38,          5851.583947
                2.39,          5662.410717
                 2.4,          5721.113956
                2.41,          5915.556287
                2.42,           5527.26975
                2.43,          5716.341074
                2.44,          5367.550008
                2.45,          4326.471513
                2.46,          4784.228394
                2.47,          4192.089536
                2.48,            4209.3073
                2.49,          4580.263896
                 2.5,          5248.798184
                2.51,          5282.560486
                2.52,          5617.290144
                2.53,          5910.872842
                2.54,          5912.443647
                2.55,          6082.937427
                2.56,          5998.854716
                2.57,          5845.363825
                2.58,          5792.685824
                2.59,          5641.474937
                 2.6,          5374.779742
                2.61,          5410.114529
                2.62,          5095.278403
                2.63,          4513.184073
                2.64,          4520.995388
                2.65,          4547.184832
                2.66,          4728.177985
                2.67,          4309.572275
                2.68,          4357.707574
                2.69,          4410.296401
                 2.7,          4252.552085
                2.71,          4280.617735
                2.72,          4546.698185
                2.73,          4182.553379
                2.74,          4206.329991
                2.75,          4679.473017
                2.76,          4673.931678
                2.77,           4603.04561
                2.78,          4377.897069
                2.79,          3900.792102
                 2.8,          3919.264371
                2.81,          4504.107555
                2.82,          3382.019089
                2.83,          3042.724904
                2.84,          2785.536887
                2.85,          2896.607915
                2.86,          3173.422732
                2.87,          3080.070214
                2.88,          2668.050217
                2.89,          2662.105752
                 2.9,          2963.039344
                2.91,           2914.38559
                2.92,          2759.056014
                2.93,          2232.891465
                2.94,          2305.077142
                2.95,          2506.171439
                2.96,          2016.830996
                2.97,          2220.559089
                2.98,          2099.106866
                2.99,          2247.077535
                   3,          2070.442167
                3.01,          2260.337444
                3.02,          2633.220309
                3.03,          2646.120903
                3.04,          2421.648381
                3.05,          1901.542651
                3.06,          2537.653895
                3.07,          2549.980718
                3.08,          2451.944175
                3.09,          2865.102112
                 3.1,          2720.469657
                3.11,          2644.560387
                3.12,          3080.790291
                3.13,          3005.980758
                3.14,          3379.493382
                3.15,          3977.706099
                3.16,          4272.193551
                3.17,          4616.519896
                3.18,          4879.991329
                3.19,          4803.644726
                 3.2,          4149.716614
                3.21,          4161.269847
                3.22,          3924.403601
                3.23,          3536.076116
                3.24,          3329.180506
                3.25,          2737.281866
                3.26,          3015.270682
                3.27,          2545.808639
                3.28,          2680.533701
                3.29,           3133.14142
                 3.3,           3506.60869
                3.31,          3231.206762
                3.32,          3134.972893
                3.33,          3272.319041
                3.34,           2796.21063
                3.35,          2694.898516
                3.36,          2425.735692
                3.37,           2532.78398
                3.38,          2645.521364
                3.39,          2842.826965
                 3.4,          2780.523095
                3.41,          2849.998498
                3.42,          2625.517587
                3.43,          2826.593332
                3.44,          2861.894768
                3.45,          2502.552542
                3.46,          2385.495871
                3.47,          3258.016209
                3.48,          3982.897659
                3.49,          3996.832933
                 3.5,          3943.406831
                3.51,          4193.084964
                3.52,          4369.181661
                3.53,          4647.418084
                3.54,          5041.975302
                3.55,          5212.923399
                3.56,          4725.398707
                3.57,          4491.490727
                3.58,          4522.501825
                3.59,           4685.06775
                 3.6,           4516.58163
                3.61,          5353.819372
                3.62,          5440.313536
                3.63,           5865.92259
                3.64,          5939.174406
                3.65,          6090.230806
                3.66,          6212.925091
                3.67,          5557.756735
                3.68,          5588.879391
                3.69,          5662.891995
                 3.7,          5297.498507
                3.71,           5547.49433
                3.72,          5083.036273
                3.73,          4918.097491
                3.74,          5576.853813
                3.75,          5494.550362
                3.76,          4940.924545
                3.77,          4526.431846
                3.78,          4529.699787
                3.79,           4435.26211
                 3.8,          4255.633389
                3.81,          3848.354185
                3.82,          4147.875206
                3.83,          4765.491156
                3.84,          4910.205624
                3.85,          4811.988509
                3.86,          4257.918671
                3.87,          4580.599332
                3.88,          4810.154459
                3.89,          4684.881756
                 3.9,          4549.563766
                3.91,          4488.160047
                3.92,          4235.427066
                3.93,          3916.437132
                3.94,          3743.054979
                3.95,          3871.029373
                3.96,          3425.120246
                3.97,          3328.825297
                3.98,          3520.940153
                3.99,          3508.532092
                   4,           3172.06954
                4.01,          3442.906173
                4.02,          2934.375434
                4.03,           2736.85052
                4.04,          2488.650037
                4.05,          2059.160818
                4.06,          2188.797808
                4.07,          2101.427209
                4.08,          2438.726911
                4.09,           2668.16375
                 4.1,          1916.202228
                4.11,          2269.950455
                4.12,          2265.753282
                4.13,          2698.956042
                4.14,          3218.761006
                4.15,          3390.910356
                4.16,          3967.076968
                4.17,          4420.257744
                4.18,          4497.459305
                4.19,          4644.946323
                 4.2,          4564.759979
                4.21,          4839.458974
                4.22,          4695.793888
                4.23,          4251.898818
                4.24,          3644.522331
                4.25,          3711.606447
                4.26,          3780.190296
                4.27,          3771.032179
                4.28,          4219.273977
                4.29,          3621.973212
                 4.3,          4152.844937
                4.31,          4726.661041
                4.32,          4390.730888
                4.33,          5022.225285
                4.34,          4391.416753
                4.35,          3824.782423
                4.36,          4017.080547
                4.37,          4265.449844
                4.38,          4241.672586
                4.39,           4261.81235
                 4.4,          4548.257582
                4.41,          4168.247264
                4.42,           3147.35208
                4.43,          3298.157603
                4.44,          4023.649829
                4.45,          4018.316885
                4.46,          3505.502685
                4.47,          3569.698485
                4.48,            3667.2948
                4.49,          4074.571233
                 4.5,          3547.882744
                4.51,          3755.740897
                4.52,          3826.997084
                4.53,          4066.138105
                4.54,          4124.817221
                4.55,          3943.827294
                4.56,           3383.91258
                4.57,          3425.580957
                4.58,          4411.222933
                4.59,          4890.987416
                 4.6,          5216.300568
                4.61,          4807.954716
                4.62,           4540.22323
                4.63,          4712.694212
                4.64,          4687.404303
                4.65,          4899.279332
                4.66,          4790.834708
                4.67,          4882.360119
                4.68,           4733.22078
                4.69,          4533.642518
                 4.7,          4323.753836
                4.71,          4566.283624
                4.72,          4375.416364
                4.73,          4449.363136
                4.74,          3366.829627
                4.75,          3036.223142
                4.76,           3165.79936
                4.77,          2605.971186
                4.78,          2108.831385
                4.79,           2282.57119
                 4.8,           2257.76522
                4.81,          2490.149982
                4.82,          2930.428253
                4.83,          2753.567963
                4.84,          2635.681055
                4.85,          3125.860984
                4.86,           2262.80286
                4.87,          2718.355745
                4.88,          3157.478363
                4.89,          4025.976263
                 4.9,          3951.693059
                4.91,          4462.979609
                4.92,          5012.985345
                4.93,          5291.126831
                4.94,          5410.682992
                4.95,          5089.005973
                4.96,          4988.089756
                4.97,           4993.70138
                4.98,          5224.783983
                4.99,          4745.534288
                   5,          4371.192204
                5.01,          3586.948613
                5.02,          4208.922178
                5.03,          3769.746869
                5.04,          3445.534668
                5.05,          3950.241289
                5.06,          3453.991193
                5.07,          3510.030396
                5.08,          3501.922281
                5.09,          3695.997002
                 5.1,          3339.745468
                5.11,          3243.219105
                5.12,           3315.18638
                5.13,          3607.798347
                5.14,            4011.3597
                5.15,           3847.69922
                5.16,          3845.421961
                5.17,          3122.036153
                5.18,          3077.262114
                5.19,          3204.790659
                 5.2,          2648.165781
                5.21,          3421.795344
                5.22,          2820.749002
                5.23,          3023.072333
                5.24,          2078.249053
                5.25,          2401.334687
                5.26,          1817.673239
                5.27,          2411.558719
                5.28,          2096.417327
                5.29,          2456.116749
                 5.3,          2542.935094
                5.31,          2390.385152
                5.32,          2565.468913
                5.33,          3298.916323
                5.34,          3289.879612
                5.35,           3289.95117
                5.36,           3259.32556
                5.37,          2831.371293
                5.38,          2955.665368
                5.39,            2413.3691
                 5.4,          2278.320596
                5.41,          1994.624614
                5.42,          1726.052423
                5.43,          2178.078107
                5.44,          2592.937902
                5.45,          2238.775261
                5.46,          2048.265833
                5.47,          2167.897158
                5.48,          1897.150086
                5.49,          1339.895417
                 5.5,          1449.577634
                5.51,          1504.662319
                5.52,          1515.201874
                5.53,          1779.909714
                5.54,          1602.150532
                5.55,          2020.835885
                5.56,          1650.245726
                5.57,          1537.836918
                5.58,          1824.830691
                5.59,          2117.851218
                 5.6,          2332.092417
                5.61,          2369.408977
                5.62,          2301.076146
                5.63,          2053.612933
                5.64,          2181.454958
                5.65,          2048.618688
                5.66,          1994.575096
                5.67,          1421.034873
                5.68,          1994.385862
                5.69,          2114.719961
                 5.7,          1882.499984
                5.71,          1740.989384
                5.72,          1731.368218
                5.73,          1815.262947
                5.74,          1352.006537
                5.75,          1242.989658
                5.76,          1573.658945
                5.77,          1653.038823
                5.78,          1595.654621
                5.79,          1524.028282
                 5.8,          1399.180024
                5.81,          1561.756912
                5.82,          1706.905096
                5.83,          2345.489794
                5.84,          1749.834332
                5.85,          2315.598172
                5.86,          2845.498468
                5.87,          2820.528154
                5.88,          2991.460261
                5.89,          2879.035862
                 5.9,           2885.05757
                5.91,          3213.138932
                5.92,          3275.648104
                5.93,          3611.051004
                5.94,           3316.10394
                5.95,          3082.043167
                5.96,          3281.381697
                5.97,           3393.67112
                5.98,          3610.852522
                5.99,          3888.722593
                   6,           3474.03451
                6.01,           4087.03159
                6.02,          4258.938846
                6.03,          3543.470651
                6.04,          3847.036936
                6.05,          4168.714759
                6.06,          4070.797386
                6.07,          3715.461794
                6.08,          3819.284043
                6.09,           3885.65251
                 6.1,          3630.008238
                6.11,          4011.463785
                6.12,          3223.549957
                6.13,          3152.322717
                6.14,          3150.154126
                6.15,          2857.027018
                6.16,          3067.960736
                6.17,          3420.081734
                6.18,          2849.313313
                6.19,          3129.796997
                 6.2,          3540.220828
                6.21,          3894.281214
                6.22,           3689.40359
                6.23,          3987.712523
                6.24,          3593.071319
                6.25,          3828.230209
                6.26,          4191.134059
                6.27,          3812.566455
                6.28,          3428.982616
                6.29,          3589.226894
                 6.3,          3632.987918
                6.31,          3843.094167
                6.32,          4422.704045
                6.33,          4400.480696
                6.34,          4237.959495
                6.35,          4271.150342
                6.36,          4156.116817
                6.37,          3722.358053
                6.38,          3882.791071
                6.39,          4461.736068
                 6.4,          4287.432447
