------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,          2086.923175
                0.01,          1730.322756
                0.02,          1651.990894
                0.03,          1351.057295
                0.04,           879.206049
                0.05,           869.535373
                0.06,          1015.153571
                0.07,           952.835562
                0.08,           787.597272
                0.09,          1077.248227
                 0.1,          1738.499239
                0.11,          2720.995428
                0.12,          3003.322519
                0.13,          3606.933865
                0.14,          2919.813969
                0.15,          2122.575201
                0.16,          1960.174758
                0.17,           1754.66544
                0.18,          2432.991526
                0.19,          2655.284306
                 0.2,          2747.326517
                0.21,          2478.172368
                0.22,           2091.20149
                0.23,          2176.095038
                0.24,          2641.233488
                0.25,          2991.008258
                0.26,            2703.6324
                0.27,          2806.449429
                0.28,          2772.894528
                0.29,          2940.931314
                 0.3,           2950.16947
                0.31,          3624.906034
                0.32,          3775.482393
                0.33,          2876.692353
                0.34,          2518.358387
                0.35,          3288.003982
                0.36,          2971.159009
                0.37,          3065.121775
                0.38,          3292.919461
                0.39,          3650.300928
                 0.4,          3622.228543
                0.41,           3302.84824
                0.42,          3227.083359
                0.43,          3480.340719
                0.44,          3645.162515
                0.45,          3713.657533
                0.46,          3415.020797
                0.47,          3469.978403
                0.48,          3403.781346
                0.49,           3734.21305
                 0.5,          3831.005426
                0.51,          3863.943395
                0.52,          3623.517289
                0.53,          3730.605265
                0.54,          3894.387592
                0.55,          3803.915935
                0.56,          3498.984891
                0.57,          3354.347796
                0.58,          3459.882284
                0.59,          3616.048295
                 0.6,          3146.748133
                0.61,          2810.265425
                0.62,           2596.17735
                0.63,          2062.834351
                0.64,          2399.044242
                0.65,          2490.374558
                0.66,          2473.428998
                0.67,          2821.249073
                0.68,           2916.64919
                0.69,          3245.223377
                 0.7,           3283.57744
                0.71,          3201.837073
                0.72,            3478.2992
                0.73,          3695.440266
                0.74,          3659.327489
                0.75,          3948.696763
                0.76,          3876.918568
                0.77,          3710.162362
                0.78,          3261.279408
                0.79,          3390.917569
                 0.8,          3370.943395
                0.81,          3827.238842
                0.82,          3176.984439
                0.83,          3126.718903
                0.84,          2667.903493
                0.85,           2430.89327
                0.86,           1460.93521
                0.87,           1856.29755
                0.88,          2491.717113
                0.89,           2937.22712
                 0.9,          2945.749448
                0.91,          2745.089342
                0.92,          1765.145404
                0.93,          1662.676936
                0.94,          2379.158238
                0.95,          3114.540216
                0.96,          3443.326964
                0.97,          3446.630153
                0.98,          3199.354208
                0.99,          3293.789514
                   1,          2847.265207
                1.01,           2889.26516
                1.02,          2299.327044
                1.03,          2500.758638
                1.04,          2055.873192
                1.05,          2505.554565
                1.06,          2130.664527
                1.07,          2526.717584
                1.08,          2683.416431
                1.09,          2582.655974
                 1.1,          2222.412768
                1.11,          2423.309243
                1.12,          2067.986753
                1.13,          1491.784416
                1.14,          1125.787893
                1.15,          1714.346704
                1.16,          2506.726131
                1.17,          2219.643282
                1.18,          1659.784769
                1.19,          1662.939333
                 1.2,          1734.566383
                1.21,          2305.710795
                1.22,          1821.062764
                1.23,          1610.298142
                1.24,           1033.62136
                1.25,          1321.777682
                1.26,          1578.748364
                1.27,           973.340559
                1.28,          1183.282607
                1.29,          1109.146665
                 1.3,          1455.742771
                1.31,          1781.993009
                1.32,          2274.826899
                1.33,          2450.907937
                1.34,          1996.636172
                1.35,          1797.695155
                1.36,          2155.356129
                1.37,           2649.66471
                1.38,          2651.611723
                1.39,          2741.767103
                 1.4,          3086.481174
                1.41,          3202.446429
                1.42,          3019.413188
                1.43,          2928.980773
                1.44,          3171.370041
                1.45,          2221.048385
                1.46,          1686.608594
                1.47,          2061.780815
                1.48,          1628.136314
                1.49,          1918.569941
                 1.5,          2203.057594
                1.51,          2220.521854
                1.52,          2075.037201
                1.53,          1738.545889
                1.54,          1124.585969
                1.55,           832.471529
                1.56,          1918.245882
                1.57,          2141.309202
                1.58,          2447.344776
                1.59,          2336.527753
                 1.6,          1323.870775
                1.61,          1461.778086
                1.62,          1547.537606
                1.63,          1687.774273
                1.64,          1139.371182
                1.65,          1594.634794
                1.66,          1583.482528
                1.67,          1875.846524
                1.68,          1455.009627
                1.69,          1680.199248
                 1.7,          1947.874036
                1.71,          1771.583639
                1.72,           987.492505
                1.73,           892.952733
                1.74,          1097.588023
                1.75,          1066.414412
                1.76,           746.086741
                1.77,          1181.167394
                1.78,           1677.01076
                1.79,          1406.545239
                 1.8,          1028.826778
                1.81,           882.532384
                1.82,          1430.724782
                1.83,          1781.850038
                1.84,          1801.141975
                1.85,          1538.462464
                1.86,          1269.902515
                1.87,            1822.0427
                1.88,          1639.461597
                1.89,          1209.359135
                 1.9,           1036.60562
                1.91,          1050.071009
                1.92,          1449.529198
                1.93,          2117.777342
                1.94,          1738.423326
                1.95,          2031.044491
                1.96,          2817.674159
                1.97,          2333.604304
                1.98,          2425.717287
                1.99,          2122.440185
                   2,          2958.909212
                2.01,          2866.060193
                2.02,          2337.851329
                2.03,          2407.219895
                2.04,          2703.037975
                2.05,          2444.060087
                2.06,          2333.888582
                2.07,          2042.166572
                2.08,           2001.96412
                2.09,          1711.273756
                 2.1,          1848.946695
                2.11,          2221.732468
                2.12,          1894.886581
                2.13,          2619.031959
                2.14,          2181.713273
                2.15,          2526.241376
                2.16,          2369.559553
                2.17,          1477.075325
                2.18,          1373.388284
                2.19,          1337.091203
                 2.2,          1227.301532
