------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,          1684.450007
              0.0001,          1704.355711
              0.0002,          1715.136797
              0.0003,          1774.472529
              0.0004,          1807.835706
              0.0005,          1808.477786
              0.0006,          1768.078435
              0.0007,          1768.723193
              0.0008,          1783.396745
              0.0009,          1804.417453
               0.001,          1855.149821
              0.0011,          1805.553647
              0.0012,          1824.871561
              0.0013,          1846.573534
              0.0014,          1863.733599
              0.0015,          1937.307145
              0.0016,          1842.904838
              0.0017,          1998.316709
              0.0018,          2021.027389
              0.0019,          2008.973811
               0.002,          2008.007009
              0.0021,          2031.535886
              0.0022,          2084.349986
              0.0023,          2085.015273
              0.0024,           2120.02219
              0.0025,          2192.132003
              0.0026,          2147.060303
              0.0027,          2200.414357
              0.0028,          2205.384127
              0.0029,          2214.089462
               0.003,          2248.655942
              0.0031,          2294.704473
              0.0032,          2362.174171
              0.0033,          2297.319327
              0.0034,          2266.469562
              0.0035,          2243.330142
              0.0036,          2280.250039
              0.0037,          2319.273349
              0.0038,          2375.085225
              0.0039,          2372.170529
               0.004,          2342.529981
              0.0041,          2415.342231
              0.0042,          2402.968839
              0.0043,          2430.560867
              0.0044,           2399.92758
              0.0045,          2486.628761
              0.0046,          2508.640007
              0.0047,          2402.914678
              0.0048,          2466.803479
              0.0049,          2463.229619
               0.005,          2427.323175
              0.0051,          2410.050015
              0.0052,          2439.311595
              0.0053,          2464.559285
              0.0054,           2462.82715
              0.0055,          2463.466246
              0.0056,          2437.291208
              0.0057,          2500.914822
              0.0058,          2501.556638
              0.0059,          2474.820747
               0.006,          2491.742891
              0.0061,          2452.074705
              0.0062,          2476.146546
              0.0063,          2493.272877
              0.0064,          2390.728684
              0.0065,          2387.123021
              0.0066,          2405.267442
              0.0067,          2398.558023
              0.0068,          2351.540891
              0.0069,          2322.068042
               0.007,          2388.843908
              0.0071,          2335.836274
              0.0072,          2396.880614
              0.0073,          2384.563339
              0.0074,          2446.907075
              0.0075,          2424.523439
              0.0076,          2447.518366
              0.0077,          2410.608749
              0.0078,          2399.859707
              0.0079,          2476.145896
               0.008,          2495.641432
              0.0081,          2496.288921
              0.0082,          2429.676687
              0.0083,          2434.867584
              0.0084,          2402.479905
              0.0085,          2444.305849
              0.0086,          2556.091122
              0.0087,          2490.383319
              0.0088,          2512.516222
              0.0089,          2502.970089
               0.009,          2477.817024
              0.0091,          2477.869252
              0.0092,          2467.042494
              0.0093,          2443.195922
              0.0094,          2463.612792
              0.0095,          2459.136981
              0.0096,          2424.861962
              0.0097,          2394.157531
              0.0098,          2435.740247
              0.0099,          2426.379308
                0.01,          2397.823191
              0.0101,          2478.300209
              0.0102,          2418.225456
              0.0103,          2459.345752
              0.0104,           2314.85116
              0.0105,          2263.194071
              0.0106,           2166.15826
              0.0107,          2122.982831
              0.0108,          2123.631004
              0.0109,          2133.527621
               0.011,          2112.345845
              0.0111,          2139.714071
              0.0112,          2129.654991
              0.0113,          2130.304315
              0.0114,          2079.404691
              0.0115,          2046.415483
              0.0116,          2058.953928
              0.0117,          1992.790612
              0.0118,          2041.289633
              0.0119,          2030.372884
               0.012,          2124.501803
              0.0121,          2089.353714
              0.0122,          2066.246024
              0.0123,          2089.638289
              0.0124,          2062.843863
              0.0125,           2047.81911
              0.0126,          2069.083777
              0.0127,          2222.947873
              0.0128,          2184.019316
              0.0129,          2184.656394
               0.013,          2187.199502
              0.0131,          2324.689759
              0.0132,          2325.332667
              0.0133,          2336.158465
              0.0134,          2330.197294
              0.0135,          2167.890281
              0.0136,           2194.85105
              0.0137,          2163.580103
              0.0138,          2185.511166
              0.0139,          2191.972528
               0.014,          2167.686058
              0.0141,          2126.961441
              0.0142,          2132.009815
              0.0143,           2123.27227
              0.0144,          2098.693095
              0.0145,          2104.509233
              0.0146,          2179.164989
              0.0147,          2216.413233
              0.0148,          2163.551359
              0.0149,          2117.433206
               0.015,          2121.696341
              0.0151,           2194.07988
              0.0152,          2182.340824
              0.0153,          2270.827668
              0.0154,          2355.043385
              0.0155,          2342.931649
              0.0156,          2386.851438
              0.0157,          2341.485883
              0.0158,          2254.462158
              0.0159,          2235.748622
               0.016,          2236.389659
              0.0161,          2212.146973
              0.0162,          2182.592382
              0.0163,          2174.776233
              0.0164,          2125.844773
              0.0165,          2136.053455
              0.0166,            2130.1061
              0.0167,          2085.206479
              0.0168,          2119.829387
              0.0169,           2137.48667
               0.017,          2098.990774
              0.0171,          2074.527664
              0.0172,          2075.486199
              0.0173,          2079.043946
              0.0174,          2042.623219
              0.0175,          2069.146146
              0.0176,          2069.766666
              0.0177,          2041.159316
              0.0178,          2010.443658
              0.0179,          1984.899167
               0.018,          1991.849761
              0.0181,          2011.248088
              0.0182,          2001.758618
              0.0183,          2022.192907
              0.0184,          1997.243126
              0.0185,          2000.956863
              0.0186,          1983.409536
              0.0187,          1956.204716
              0.0188,          1945.853815
              0.0189,          1884.265155
               0.019,          1874.651982
              0.0191,          1833.316145
              0.0192,          1745.054453
              0.0193,          1720.437833
              0.0194,          1666.371627
              0.0195,          1637.375213
              0.0196,          1687.975144
              0.0197,           1684.71315
              0.0198,          1626.696509
              0.0199,          1586.876651
                0.02,          1555.140768
              0.0201,          1584.353649
              0.0202,          1585.423531
              0.0203,          1566.394793
              0.0204,          1559.086887
              0.0205,          1579.996375
              0.0206,          1560.796775
              0.0207,          1540.669319
              0.0208,          1530.374091
              0.0209,          1559.564567
               0.021,          1534.737118
              0.0211,          1557.588346
              0.0212,          1611.715609
              0.0213,          1610.857314
              0.0214,          1587.173477
              0.0215,          1649.085106
              0.0216,          1684.375786
              0.0217,          1682.966094
              0.0218,          1776.423117
              0.0219,          1689.687068
               0.022,          1683.611279
              0.0221,          1737.544559
              0.0222,           1751.28282
              0.0223,          1801.996223
              0.0224,          1914.947372
              0.0225,          1935.155989
              0.0226,          1914.172034
              0.0227,          1892.727262
              0.0228,          1936.761384
              0.0229,          1951.517056
               0.023,          1932.797802
              0.0231,          1933.074417
              0.0232,          1854.993221
              0.0233,          1858.739689
              0.0234,          1813.418139
              0.0235,          1797.500328
              0.0236,          1750.474188
              0.0237,          1792.700804
              0.0238,          1817.038934
              0.0239,          1832.930875
               0.024,          1775.443531
              0.0241,          1827.156931
              0.0242,          1836.848167
              0.0243,          1875.699899
              0.0244,          1921.132095
              0.0245,          1876.315461
              0.0246,          1891.898244
              0.0247,          1886.410807
              0.0248,          1849.500524
              0.0249,          1906.388268
               0.025,          1911.737072
              0.0251,           1911.48212
              0.0252,          1952.690514
              0.0253,          2039.996562
              0.0254,          1907.042195
              0.0255,          1946.053855
              0.0256,          1946.702998
              0.0257,          1885.305101
              0.0258,          1934.872495
              0.0259,          1887.568253
               0.026,           1913.02756
              0.0261,          1918.863246
              0.0262,          1904.068883
              0.0263,           1935.86394
              0.0264,          1901.182381
              0.0265,          1893.536759
              0.0266,          1864.986678
              0.0267,          1845.931118
              0.0268,          1779.145071
              0.0269,          1702.240865
               0.027,          1711.135377
              0.0271,          1728.308434
              0.0272,          1813.754883
              0.0273,          1895.868601
              0.0274,          1918.166062
              0.0275,          1894.520709
              0.0276,          1888.445213
              0.0277,          1827.926729
              0.0278,          1808.113234
              0.0279,          1821.881652
               0.028,          1820.604536
              0.0281,           1797.87335
              0.0282,          1798.521467
              0.0283,          1872.866747
              0.0284,          1913.878692
              0.0285,          1970.626591
              0.0286,          1972.689075
              0.0287,          1892.391714
              0.0288,          1902.327194
              0.0289,          1915.444322
               0.029,          1971.873837
              0.0291,          1999.156494
              0.0292,           2043.21043
              0.0293,          2002.510736
              0.0294,          1973.998308
              0.0295,          1947.715969
              0.0296,          1933.309368
              0.0297,          1961.304416
              0.0298,           2001.51732
              0.0299,          1980.076115
                0.03,          2013.265726
              0.0301,          2083.729834
              0.0302,          2142.800958
              0.0303,          2215.720201
              0.0304,          2221.133489
              0.0305,          2164.073263
              0.0306,          2199.850326
              0.0307,          2224.411986
              0.0308,          2252.030169
              0.0309,          2272.897412
               0.031,          2300.394911
              0.0311,          2292.069574
              0.0312,          2325.889971
              0.0313,          2222.531511
              0.0314,          2211.208296
              0.0315,          2212.339496
              0.0316,          2209.997238
              0.0317,          2116.102024
              0.0318,          2070.428838
              0.0319,          2073.575553
               0.032,          2088.338139
              0.0321,          2116.951935
              0.0322,          2112.013447
              0.0323,          2201.420065
              0.0324,          2108.496178
              0.0325,          2151.711575
              0.0326,          2221.728784
              0.0327,          2292.992182
              0.0328,          2333.382097
              0.0329,          2226.805651
               0.033,          2287.463701
              0.0331,          2329.767337
              0.0332,          2328.267194
              0.0333,          2360.269721
              0.0334,          2438.486965
              0.0335,          2449.799385
              0.0336,          2428.694194
              0.0337,          2418.368244
              0.0338,          2440.149743
              0.0339,          2458.534809
               0.034,          2471.526161
              0.0341,          2635.697772
              0.0342,          2649.376939
              0.0343,          2626.852209
              0.0344,          2584.596042
              0.0345,          2526.907052
              0.0346,          2538.731872
              0.0347,          2539.358538
              0.0348,          2507.983083
              0.0349,          2474.744288
               0.035,          2533.322678
              0.0351,          2553.959762
              0.0352,          2593.599517
              0.0353,          2631.909981
              0.0354,          2632.981007
              0.0355,          2698.328832
              0.0356,          2721.268977
              0.0357,          2744.995033
              0.0358,          2759.566668
              0.0359,          2754.141072
               0.036,          2806.107234
              0.0361,           2766.48639
              0.0362,          2787.191678
              0.0363,          2795.218064
              0.0364,          2869.303552
              0.0365,          2921.663532
              0.0366,          2977.901992
              0.0367,          3108.753617
              0.0368,          3065.480125
              0.0369,          3058.031354
               0.037,          3105.934908
              0.0371,          3104.837817
              0.0372,          3148.245861
              0.0373,          3262.720533
              0.0374,          3228.625497
              0.0375,          3195.373147
              0.0376,          3234.856604
              0.0377,          3300.003218
              0.0378,          3300.628664
              0.0379,          3325.529572
               0.038,          3328.035385
              0.0381,          3323.874481
              0.0382,          3367.425537
              0.0383,          3368.051718
              0.0384,          3423.229204
              0.0385,          3411.907659
              0.0386,          3519.129118
              0.0387,          3504.003191
              0.0388,          3630.146868
              0.0389,          3560.927222
               0.039,          3575.564464
              0.0391,          3538.178076
              0.0392,          3468.965069
              0.0393,          3485.889369
              0.0394,          3430.674031
              0.0395,          3447.953574
              0.0396,           3468.34922
              0.0397,          3435.895934
              0.0398,          3459.948776
              0.0399,          3528.751547
                0.04,          3533.342458
              0.0401,          3541.644819
              0.0402,          3529.712015
              0.0403,          3624.169448
              0.0404,          3622.611447
              0.0405,          3567.198538
              0.0406,          3601.819567
              0.0407,          3571.678012
              0.0408,          3549.053376
              0.0409,          3540.147347
               0.041,          3550.416016
              0.0411,          3482.045173
              0.0412,          3498.302756
              0.0413,           3476.41465
              0.0414,          3493.667896
              0.0415,          3499.627757
              0.0416,          3579.020576
              0.0417,          3579.662522
              0.0418,          3630.245787
              0.0419,          3626.947843
               0.042,          3660.852681
              0.0421,          3605.645992
              0.0422,          3505.021643
              0.0423,          3493.337401
              0.0424,          3487.098294
              0.0425,          3417.146473
