------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,          1977.073379
               0.001,          1976.265112
               0.002,          1750.484084
               0.003,          1650.050712
               0.004,           1604.90789
               0.005,          1575.666332
               0.006,          1558.923957
               0.007,          1592.322777
               0.008,          1624.500809
               0.009,          1387.418356
                0.01,          1462.798458
               0.011,          1387.089108
               0.012,          1331.160327
               0.013,          1343.574812
               0.014,           1263.30924
               0.015,          1169.143689
               0.016,          1158.492547
               0.017,          1346.345431
               0.018,          1022.784824
               0.019,           1222.50058
                0.02,          1265.350174
               0.021,          1249.130213
               0.022,          1258.570413
               0.023,          1338.662818
               0.024,          1561.621891
               0.025,          1599.673244
               0.026,          1849.099516
               0.027,          1864.700611
               0.028,          1618.917878
               0.029,          1711.242588
                0.03,          1845.534573
               0.031,          1994.204913
               0.032,          1806.033361
               0.033,          1917.892554
               0.034,           2010.84074
               0.035,          1996.291604
               0.036,          1933.709369
               0.037,           1885.41038
               0.038,          2074.296781
               0.039,          2281.649975
                0.04,          2250.446594
               0.041,          2161.818423
               0.042,          2492.545346
               0.043,          2435.275486
               0.044,          2471.365316
               0.045,          2320.388747
               0.046,          2310.185017
               0.047,          2419.658558
               0.048,          2571.861387
               0.049,          2473.005956
                0.05,          2517.056783
               0.051,          2489.194809
               0.052,          2629.916141
               0.053,          2641.019795
               0.054,          2945.716047
               0.055,          3060.742648
               0.056,          3233.918125
               0.057,          3427.784004
               0.058,          3801.274373
               0.059,          4009.972849
                0.06,          4093.444564
               0.061,          4283.173778
               0.062,          4372.152234
               0.063,          4466.458095
               0.064,          4345.265972
               0.065,          4480.008639
               0.066,          4334.869222
               0.067,          4289.263941
               0.068,          4369.932309
               0.069,          4293.147731
                0.07,          3815.766378
               0.071,          3781.540321
               0.072,          3639.774802
               0.073,          3777.053717
               0.074,          3480.322368
               0.075,           3749.54552
               0.076,          3793.359389
               0.077,          3578.891168
               0.078,          3488.637305
               0.079,          3485.162478
                0.08,          3423.212898
               0.081,          3284.043426
               0.082,           3191.69899
               0.083,          3125.058199
               0.084,          3208.964622
               0.085,          3106.285207
               0.086,          3164.263743
               0.087,          3116.277662
               0.088,           3197.67932
               0.089,           3313.60652
                0.09,            3423.1588
               0.091,          3529.469504
               0.092,          3499.564766
               0.093,          3648.426613
               0.094,          3618.573812
               0.095,          3604.450546
               0.096,          3533.591847
               0.097,          3404.883146
               0.098,          3392.374133
               0.099,          3474.281384
                 0.1,          3678.086105
               0.101,          3704.177127
               0.102,          3692.636707
               0.103,          3845.086406
               0.104,           3915.60247
               0.105,          4034.916235
               0.106,          4156.714532
               0.107,           4176.72161
               0.108,          4213.939086
               0.109,          4056.891509
                0.11,          3867.549854
               0.111,          4092.939927
               0.112,          4356.829594
               0.113,          4218.232909
               0.114,          4456.449796
               0.115,          4485.420727
               0.116,           4530.89456
               0.117,          4560.995605
               0.118,          4542.020968
               0.119,          4557.268453
                0.12,          4670.675792
               0.121,          4718.005858
               0.122,          4781.539901
               0.123,           4813.88317
               0.124,          4720.306446
               0.125,          4618.769547
               0.126,          4672.786686
               0.127,          4733.839447
               0.128,          4853.434419
               0.129,          4943.693957
                0.13,          4952.008844
               0.131,          4891.521478
               0.132,          4756.229515
               0.133,          4561.377127
               0.134,          4617.971997
               0.135,          4587.370376
               0.136,          4809.653709
               0.137,          4708.150984
               0.138,          4762.470927
               0.139,          4958.410461
                0.14,          5050.925803
               0.141,          5270.567375
               0.142,          5089.999448
               0.143,          5223.113606
               0.144,           5074.80589
               0.145,          4997.617581
               0.146,           4948.40166
               0.147,          4994.445713
               0.148,          4943.418863
               0.149,          4976.526803
                0.15,          5018.012737
               0.151,           5066.85281
               0.152,          4809.339168
               0.153,          4797.120885
               0.154,          4867.141056
