------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,           794.318285
              0.0005,            748.81874
               0.001,           861.856697
              0.0015,            859.60567
               0.002,           785.586962
              0.0025,           853.943441
               0.003,           884.441544
              0.0035,           977.099505
               0.004,           979.789186
              0.0045,           938.956773
               0.005,          1058.316967
              0.0055,          1116.342345
               0.006,          1274.871532
              0.0065,          1352.875472
               0.007,          1225.354924
              0.0075,          1197.851208
               0.008,          1170.376316
              0.0085,          1149.108383
               0.009,           1263.83724
              0.0095,          1250.022125
                0.01,          1295.689649
              0.0105,          1251.799165
               0.011,          1223.547783
              0.0115,          1035.490134
               0.012,           871.538551
              0.0125,          1067.058873
               0.013,          1018.146528
              0.0135,           766.973386
               0.014,            796.67566
              0.0145,             795.9981
               0.015,           833.405523
              0.0155,           979.945741
               0.016,          1075.084142
              0.0165,          1126.794905
               0.017,           1240.12107
              0.0175,          1056.089056
               0.018,          1065.041982
              0.0185,          1008.895365
               0.019,           987.943956
              0.0195,           952.702325
                0.02,            852.66329
              0.0205,           734.315511
               0.021,           615.663385
              0.0215,           803.432164
               0.022,           726.493001
              0.0225,           780.672086
               0.023,           906.496889
              0.0235,           990.297666
               0.024,          1013.586344
              0.0245,          1189.449209
               0.025,          1094.855189
              0.0255,           918.390445
               0.026,           852.045896
              0.0265,           882.887857
               0.027,           981.405163
              0.0275,           977.675118
               0.028,          1289.321257
              0.0285,          1208.494637
               0.029,          1228.522441
              0.0295,            1083.8788
                0.03,          1068.602063
              0.0305,          1066.533922
               0.031,           1046.70289
              0.0315,          1041.244074
               0.032,           944.631463
              0.0325,          1073.968022
               0.033,           985.350502
              0.0335,          1067.040572
               0.034,           934.657607
              0.0345,          1083.393571
               0.035,           914.856898
              0.0355,           831.274964
               0.036,           817.289635
              0.0365,           983.920275
               0.037,           1002.84746
              0.0375,           934.896397
               0.038,          1025.711505
              0.0385,          1072.955895
               0.039,           930.564282
              0.0395,           942.999704
                0.04,          1154.324029
              0.0405,          1192.772096
               0.041,          1283.981014
              0.0415,          1392.543841
               0.042,          1324.114317
              0.0425,          1278.330079
               0.043,          1138.717477
              0.0435,           982.223068
               0.044,          1043.014842
              0.0445,          1082.390534
               0.045,          1080.825184
              0.0455,          1023.946813
               0.046,           919.765864
              0.0465,           917.603891
               0.047,           910.030974
              0.0475,           883.850832
               0.048,           767.469927
              0.0485,           818.952865
               0.049,           549.622503
              0.0495,           569.479233
                0.05,           477.061622
              0.0505,           573.723991
               0.051,           664.151285
              0.0515,           651.135973
               0.052,           668.705414
              0.0525,            694.22185
               0.053,           725.652376
              0.0535,           769.919526
               0.054,           611.012105
              0.0545,           696.722818
               0.055,            699.78136
              0.0555,           614.880678
               0.056,           434.277495
              0.0565,           451.352691
               0.057,           509.623399
              0.0575,           473.363024
               0.058,           373.491653
              0.0585,           412.194545
               0.059,           478.838003
              0.0595,           579.150354
                0.06,           361.514089
              0.0605,           436.812776
               0.061,           630.994227
              0.0615,           693.511816
               0.062,           678.484753
              0.0625,            602.18863
               0.063,           595.187315
              0.0635,           646.253454
               0.064,           757.953173
              0.0645,           829.002983
               0.065,           929.158014
              0.0655,          1014.783124
               0.066,          1192.647283
              0.0665,          1184.423629
               0.067,          1156.279242
              0.0675,          1103.386716
               0.068,          1001.771152
              0.0685,          1040.114782
               0.069,          1172.319584
              0.0695,          1193.541656
                0.07,           1293.52361
              0.0705,          1329.644028
               0.071,          1330.857242
              0.0715,          1279.027715
               0.072,          1357.085255
              0.0725,          1084.115519
               0.073,          1170.085058
              0.0735,          1133.760788
               0.074,          1271.457961
              0.0745,          1352.520757
               0.075,          1383.962826
              0.0755,          1522.679874
               0.076,          1370.716043
              0.0765,          1496.687464
               0.077,          1418.446103
              0.0775,           1457.35867
               0.078,          1404.885049
              0.0785,          1342.090371
               0.079,           1319.56142
              0.0795,          1310.544062
                0.08,          1322.164422
              0.0805,          1255.624154
               0.081,          1281.079988
              0.0815,          1439.528494
               0.082,          1790.178617
              0.0825,          1955.611654
               0.083,          2020.056031
              0.0835,          1905.149138
               0.084,            1897.4291
              0.0845,          1832.158713
               0.085,          1815.588425
              0.0855,          1897.460089
               0.086,          1995.659563
              0.0865,          2005.767968
               0.087,          1981.185596
              0.0875,          1763.163007
               0.088,          1775.752267
              0.0885,          1796.152623
               0.089,          1774.164609
              0.0895,          1812.564618
                0.09,          1733.166627
              0.0905,          1767.470049
               0.091,          1890.616118
              0.0915,          1790.282078
               0.092,           1790.72461
              0.0925,          1755.968394
               0.093,          1742.156328
              0.0935,          1837.023488
               0.094,          1860.901114
              0.0945,          1734.805628
               0.095,          1922.766749
              0.0955,          2015.243268
               0.096,          2118.490443
              0.0965,          2256.758849
               0.097,          2447.548353
              0.0975,            2540.6423
               0.098,          2694.307116
              0.0985,            2709.9898
               0.099,          2743.987832
              0.0995,          2823.404051
                 0.1,          2795.133379
              0.1005,          2816.728538
               0.101,          2798.999597
              0.1015,          2727.300702
               0.102,           2599.97883
              0.1025,          2421.452782
               0.103,          2475.936946
              0.1035,          2406.388535
               0.104,          2467.168863
              0.1045,          2486.191674
               0.105,          2303.996032
              0.1055,          2361.290056
               0.106,          2365.665162
              0.1065,          2369.801649
               0.107,          2421.253154
              0.1075,          2438.503549
               0.108,          2337.078438
              0.1085,          2289.926298
               0.109,          2246.891413
              0.1095,          2157.485909
                0.11,           1982.87286
              0.1105,           2004.26126
               0.111,          2080.791249
              0.1115,          2168.239552
               0.112,          2087.507581
              0.1125,           2075.41896
               0.113,          1893.010866
              0.1135,          1888.741396
               0.114,          1923.082108
              0.1145,          1942.495537
               0.115,          2037.495268
              0.1155,          2101.317518
               0.116,          2041.546888
              0.1165,          2048.471554
               0.117,          2183.469608
              0.1175,          2064.894506
               0.118,          2030.272862
              0.1185,          2031.176764
               0.119,          2055.745209
              0.1195,          2103.867676
                0.12,           2116.33184
              0.1205,          2032.842453
               0.121,          2032.025954
              0.1215,          1891.614415
               0.122,          1848.557798
              0.1225,          1786.225876
               0.123,           1750.39425
              0.1235,          1736.791646
               0.124,          1702.052274
              0.1245,          1577.831546
               0.125,          1518.009647
              0.1255,          1589.076593
               0.126,           1581.80118
              0.1265,          1694.525895
               0.127,          1702.138502
              0.1275,           1814.16336
               0.128,          1860.565239
              0.1285,          1803.578367
               0.129,          1931.082643
              0.1295,           2001.15894
                0.13,          1871.938851
              0.1305,           1681.34064
               0.131,          1680.075732
              0.1315,          1503.062138
               0.132,          1602.344094
              0.1325,          1590.419869
               0.133,           1659.24661
              0.1335,          1732.149839
               0.134,           1958.54874
              0.1345,          1904.406978
               0.135,           1973.03702
              0.1355,          2075.475408
               0.136,          2066.624268
              0.1365,            2006.5095
               0.137,          1963.472066
              0.1375,          1990.025322
               0.138,          1927.342613
              0.1385,          2090.558551
               0.139,          2172.528232
              0.1395,            2199.3017
                0.14,          2262.353181
              0.1405,          2438.596209
               0.141,          2525.741691
              0.1415,          2542.206611
               0.142,          2381.094973
              0.1425,          2158.830713
               0.143,          2126.914663
              0.1435,          2124.806684
               0.144,          2231.898917
              0.1445,          2396.067232
