------------------------------------------------------------
 Velocity Vs Time
------------------------------------------------------------
Time (ps), Velocity (m/s)
                   0,          1289.984879
               0.001,           1342.34946
               0.002,          1319.112557
               0.003,          1198.270884
               0.004,          1207.028837
               0.005,           1280.01556
               0.006,          1227.671057
               0.007,           1293.19268
               0.008,           1483.89195
               0.009,          1346.760696
                0.01,           1258.14656
               0.011,          1150.219652
               0.012,          1095.473693
               0.013,           998.817686
               0.014,          1182.634936
               0.015,          1455.448231
               0.016,           1418.43558
               0.017,          1240.897405
               0.018,          1300.438868
               0.019,          1215.780796
                0.02,           988.084756
               0.021,           890.958398
               0.022,          1048.576374
               0.023,          1154.419316
               0.024,          1174.365725
               0.025,           1070.81287
               0.026,          1175.737144
               0.027,           987.988152
               0.028,          1292.661242
               0.029,          1367.874484
                0.03,          1251.828861
               0.031,          1313.766316
               0.032,          1546.112667
               0.033,          1434.994798
               0.034,          1523.957056
               0.035,           1616.04631
               0.036,           1493.30069
               0.037,           1876.49306
               0.038,          1757.490168
               0.039,          1692.548395
                0.04,          1792.382948
               0.041,          1850.719314
               0.042,          1813.874031
               0.043,          1653.839035
               0.044,          1803.455519
               0.045,          1917.035631
               0.046,          1835.706807
               0.047,          1792.788627
               0.048,           2029.24188
               0.049,          2098.725175
                0.05,          1892.369379
               0.051,          2034.392803
               0.052,          1990.850125
               0.053,          2117.840388
               0.054,          2238.118821
               0.055,          2045.541839
               0.056,          2288.296121
               0.057,          2610.925939
               0.058,          2688.046846
               0.059,          2945.794299
                0.06,          3061.021251
               0.061,          3084.978344
               0.062,          3111.289712
               0.063,          2971.942092
               0.064,          2901.046226
               0.065,          2899.468367
               0.066,          3036.322397
               0.067,          3134.663594
               0.068,          3069.044826
               0.069,          3035.972063
                0.07,          3048.464483
               0.071,          3081.537652
               0.072,          3010.854743
               0.073,          2925.612478
               0.074,          2968.759859
               0.075,          2931.172039
               0.076,          3138.878791
               0.077,          3123.669127
               0.078,          3085.040867
               0.079,          3094.956733
                0.08,          2974.615638
               0.081,          3049.641593
               0.082,          3280.840083
               0.083,          3442.697539
               0.084,           3300.45255
               0.085,           3317.65965
               0.086,          3538.921762
               0.087,          3571.684927
               0.088,          3851.070555
               0.089,          3879.247519
                0.09,          4080.743343
               0.091,          4209.377411
               0.092,          4070.789638
               0.093,          4137.251147
               0.094,            4220.4112
               0.095,          4161.450575
               0.096,          4223.194826
               0.097,          4389.264919
               0.098,          4282.882811
               0.099,          4238.658973
                 0.1,          4536.212446
               0.101,          4257.671161
               0.102,           4410.48093
               0.103,           4484.48173
               0.104,          4737.495606
               0.105,           4650.72528
               0.106,           4957.83081
               0.107,           4934.13465
               0.108,          4928.937411
               0.109,          4927.798689
                0.11,          4999.472293
               0.111,           4944.65441
               0.112,          5031.044377
               0.113,          5104.342265
               0.114,          5078.263534
               0.115,          5086.536399
               0.116,          5180.133147
               0.117,          5178.773761
               0.118,          5165.331289
               0.119,          5051.921857
                0.12,          4975.146505
               0.121,            4947.5175
               0.122,          4962.852963
               0.123,          5238.455545
               0.124,          5285.534286
               0.125,           5408.78204
               0.126,          5358.476269
               0.127,          5420.676567
               0.128,           5527.22809
               0.129,           5348.02605
                0.13,           5632.49846
               0.131,          5727.258426
               0.132,          5704.868964
               0.133,          5857.226918
               0.134,          5695.756731
               0.135,          5859.160024
               0.136,          5956.104894
               0.137,          6067.370185
               0.138,           6065.89126
               0.139,          6002.177772
                0.14,          5922.034624
               0.141,          6004.733422
               0.142,          6166.747624
               0.143,          6268.101794
               0.144,          6279.838288
               0.145,          6105.808209
               0.146,          6230.926321
               0.147,          6127.884308
               0.148,             6134.068
               0.149,          6470.954508
                0.15,           6485.34908
               0.151,          6445.401106
               0.152,          6601.136164
               0.153,           6750.75805
               0.154,          6696.868291
               0.155,          6559.940573
               0.156,          6729.314112
               0.157,          6723.724994
               0.158,           6790.26313
               0.159,          6777.465611
                0.16,          6804.790234
               0.161,          6848.618227
               0.162,          7001.473204
               0.163,          6831.886008
               0.164,          6776.121981
               0.165,           6985.75882
               0.166,          7034.736774
               0.167,          7243.427659
               0.168,          7255.253522
               0.169,          7136.982779
                0.17,          7175.557761
               0.171,          7261.772241
               0.172,           7443.30845
               0.173,          7498.882764
               0.174,          7502.241111
               0.175,            7521.4959
               0.176,          7736.552389
               0.177,          7846.929826
               0.178,          7867.553934
               0.179,          7963.692989
                0.18,          8026.188429
               0.181,          8092.445113
               0.182,          8062.810213
               0.183,          8095.388033
               0.184,          8097.855803
               0.185,          8088.144051
               0.186,          8178.220008
               0.187,          8115.008774
               0.188,          8213.503405
               0.189,          8291.055987
                0.19,          8263.774026
               0.191,          8414.837316
               0.192,          8710.429727
               0.193,          8745.539599
               0.194,          8832.210609
               0.195,          9153.305919
               0.196,          9519.041983
               0.197,          9571.366447
               0.198,          9737.862355
               0.199,          9632.192562
                 0.2,          9620.758263
               0.201,          9942.888341
               0.202,          9889.832146
               0.203,          10032.49703
               0.204,          10077.91898
               0.205,         10007.853647
               0.206,          9650.346142
               0.207,          9732.675266
               0.208,          9760.059379
               0.209,         10067.144034
                0.21,          9874.194866
               0.211,         10090.446728
               0.212,         10079.181555
               0.213,         10060.241443
               0.214,         10039.857884
               0.215,         10169.814272
               0.216,         10193.617797
               0.217,         10244.095527
               0.218,         10212.772816
               0.219,         10199.864149
                0.22,         10274.771238
               0.221,         10142.559105
               0.222,         10240.311076
               0.223,         10467.693851
               0.224,         10255.068608
               0.225,         10080.733222
               0.226,         10209.788257
               0.227,         10497.783729
               0.228,         10723.699135
               0.229,         10942.513254
                0.23,         10758.492995
               0.231,         10663.931623
               0.232,         10702.658061
               0.233,          10626.68781
               0.234,         10674.729947
               0.235,         10780.954867
               0.236,         10968.970927
               0.237,         11058.539976
               0.238,         10988.450897
               0.239,         11129.271825
                0.24,         11116.067638
               0.241,         11101.155117
               0.242,          11372.54448
               0.243,         11543.396753
               0.244,         11389.713046
               0.245,         11396.111853
               0.246,          11168.59458
               0.247,         11380.788897
               0.248,         11504.974364
               0.249,         11834.015881
                0.25,         11689.633482
               0.251,         11587.151506
               0.252,         11629.793903
               0.253,         11604.836575
               0.254,         11654.633613
               0.255,         11516.903187
               0.256,         11690.518878
               0.257,         11875.820802
               0.258,         11992.944388
               0.259,         11961.931927
                0.26,         11761.894865
               0.261,         11638.705444
               0.262,         11655.211573
               0.263,          11724.63761
               0.264,         11869.427776
               0.265,         11774.660907
               0.266,          11636.94705
               0.267,         11565.895636
               0.268,         11713.177442
               0.269,         11610.143448
                0.27,         11607.359182
               0.271,         11300.974472
               0.272,         11475.778756
               0.273,         11536.144321
               0.274,         11555.272857
               0.275,         11434.361583
               0.276,         11564.103386
               0.277,         11438.661213
               0.278,         11601.533194
               0.279,         11543.533123
                0.28,         11547.659082
               0.281,         11630.970851
               0.282,         11516.890482
               0.283,          11563.61076
               0.284,         11447.245817
               0.285,         11620.143912
               0.286,         11666.914411
               0.287,         11794.738441
               0.288,         11542.741055
               0.289,         11523.439619
                0.29,         11516.268167
               0.291,         11620.427759
               0.292,         11712.059504
               0.293,         11637.918121
               0.294,           11785.5248
               0.295,         11667.070233
               0.296,         11668.085277
               0.297,         11478.985486
               0.298,         11511.062964
               0.299,         11437.710268
                 0.3,         11170.525512
               0.301,         11099.049949
               0.302,         11066.531047
               0.303,         10851.279169
               0.304,          10698.23247
               0.305,         10448.432814
               0.306,          10422.96991
               0.307,         10419.026032
               0.308,         10166.502448
               0.309,         10104.301883
                0.31,         10192.097322
               0.311,         10248.802004
               0.312,         10244.695789
               0.313,         10125.396498
               0.314,         10005.271917
               0.315,          9845.254714
               0.316,           9775.31425
               0.317,         10002.296019
               0.318,         10363.412196
               0.319,         10305.598083
                0.32,          10378.33549
               0.321,         10622.664852
               0.322,         10655.879557
               0.323,         10655.419983
               0.324,         10785.999556
               0.325,         10698.320736
               0.326,         10856.400062
               0.327,         10628.600625
               0.328,         10613.731481
               0.329,         10313.374894
                0.33,         10338.063738
               0.331,         10466.575603
               0.332,         10589.604794
               0.333,         10601.752766
               0.334,         10701.107237
               0.335,         10583.918991
               0.336,         10626.754215
               0.337,         10540.658809
               0.338,         10560.776413
               0.339,          10636.28314
                0.34,         10618.714071
               0.341,          10775.71507
               0.342,         10692.991962
               0.343,         10710.207855
               0.344,         10833.220974
               0.345,         10837.183222
               0.346,         10698.458022
               0.347,         10796.126495
               0.348,         10837.338118
               0.349,         10863.691961
                0.35,          10811.34783
               0.351,         10920.943135
               0.352,         11037.336069
               0.353,         11157.677076
               0.354,         11296.845778
               0.355,         11140.688562
               0.356,          11241.13386
               0.357,         11356.632379
               0.358,         11424.051235
               0.359,         11315.887401
                0.36,         11301.915523
               0.361,         11319.608579
               0.362,          11367.37464
               0.363,          11474.89826
               0.364,         11548.725787
               0.365,         11536.345132
               0.366,         11791.489026
               0.367,         11773.635671
               0.368,         11816.301244
               0.369,         11906.636662
                0.37,         11982.826754
               0.371,         11891.368607
               0.372,         11896.853103
               0.373,         11867.497667
               0.374,         11749.297031
               0.375,         11974.036334
               0.376,         12030.009751
               0.377,         11942.756555
               0.378,         11793.350437
               0.379,         11973.699246
                0.38,         11870.637623
               0.381,         11957.839311
               0.382,         12160.850022
               0.383,         12042.409452
               0.384,         12193.427376
               0.385,          12196.14145
               0.386,         12195.199412
               0.387,         12149.266345
               0.388,         12448.478861
               0.389,          12618.29229
                0.39,            12868.128
               0.391,         12819.039438
               0.392,         12813.379572
               0.393,         12909.343086
               0.394,         12840.169817
               0.395,         12892.016264
               0.396,         12913.660406
               0.397,         13156.212724
               0.398,         13127.202421
               0.399,         13182.298076
                 0.4,         13139.542544
               0.401,         13178.151569
               0.402,         13287.691195
               0.403,         13119.345593
               0.404,         13282.372037
               0.405,         13299.563958
               0.406,         13251.948586
               0.407,         13402.894134
               0.408,         13197.279738
               0.409,         13253.592044
                0.41,         13417.599773
               0.411,         13384.682524
               0.412,         13221.042439
               0.413,         13333.730362
               0.414,         13466.512606
               0.415,          13363.39031
               0.416,         13397.700001
               0.417,         13284.746574
               0.418,         13344.974622
               0.419,         13334.498922
                0.42,         13435.785757
               0.421,         13667.746929
               0.422,         13982.180831
               0.423,         14161.057194
               0.424,         14011.180953
               0.425,         14080.898038
               0.426,         14116.727403
               0.427,         14167.601436
               0.428,         14253.535405
               0.429,         14106.578654
                0.43,         14085.715223
               0.431,         14121.208996
               0.432,         14129.208568
               0.433,         14273.192471
               0.434,         14203.527228
               0.435,         14049.898599
               0.436,         14108.983676
               0.437,          14133.41026
               0.438,         14047.183305
               0.439,         14024.009911
                0.44,         13961.954724
               0.441,         13778.472916
               0.442,         13951.972243
               0.443,         14173.086979
               0.444,         14124.861214
               0.445,         14290.713807
               0.446,         14398.682525
               0.447,         14542.193244
               0.448,         14535.794911
               0.449,         14563.124786
                0.45,         14477.929072
               0.451,         14511.423843
               0.452,         14450.413331
               0.453,          14429.03795
               0.454,         14375.094933
               0.455,         14442.253695
               0.456,          14515.36804
               0.457,         14397.669853
               0.458,         14466.436912
               0.459,         14386.583552
                0.46,         14444.049478
               0.461,         14323.647324
               0.462,         14250.981073
               0.463,         14194.011758
               0.464,         14309.592572
               0.465,         14370.765937
               0.466,         14290.232696
               0.467,          14346.46363
               0.468,          14313.46878
               0.469,         14488.098254
                0.47,         14754.636576
               0.471,         14853.783531
               0.472,         14893.747797
               0.473,         14793.620891
               0.474,         14782.958381
               0.475,         14774.805223
               0.476,         14843.783739
               0.477,         15024.463727
               0.478,         15039.758816
               0.479,         15076.880348
                0.48,         15011.708508
               0.481,         14912.759638
               0.482,         14846.699322
               0.483,         14725.509478
               0.484,          14579.43107
               0.485,          14575.20883
               0.486,         14544.191686
               0.487,         14622.651872
               0.488,         14703.125473
               0.489,         14676.037211
                0.49,         14653.673374
               0.491,         14484.265132
               0.492,         14404.053701
               0.493,         14444.596455
               0.494,         14460.566289
               0.495,         14322.434286
               0.496,         14272.731729
               0.497,         14531.750428
               0.498,         14506.881797
               0.499,         14513.721245
                 0.5,         14258.475315
               0.501,         14262.952014
               0.502,          14391.15881
               0.503,         14555.844003
               0.504,         14627.872596
               0.505,         14766.640036
               0.506,         14685.919698
               0.507,         15062.349653
               0.508,         15195.803409
               0.509,         15326.074053
                0.51,         15481.213911
               0.511,         15416.940217
               0.512,          15411.71463
               0.513,         15450.237988
               0.514,         15340.107809
               0.515,         15565.220027
               0.516,         15397.912888
               0.517,         15493.984497
               0.518,         15590.745216
               0.519,          15455.59372
                0.52,         15397.763794
               0.521,         15439.090189
               0.522,         15466.156041
               0.523,         15395.479843
               0.524,         15626.628375
               0.525,         15598.631556
               0.526,         15577.513021
               0.527,         15568.634521
               0.528,         15462.603016
               0.529,         15395.286397
                0.53,         15643.488743
               0.531,         15556.608805
               0.532,         15660.789666
               0.533,         15688.816916
               0.534,         15781.428312
               0.535,         15718.893606
               0.536,         15646.889724
               0.537,         15791.936325
               0.538,         15644.009568
               0.539,         15782.767389
                0.54,         15714.058016
               0.541,         15672.765774
               0.542,         15988.554875
               0.543,         15941.366142
               0.544,          15845.29707
               0.545,         16072.746712
               0.546,         16016.363612
               0.547,         16223.051714
               0.548,         16282.507351
               0.549,         16339.987195
                0.55,         16419.247871
               0.551,         16297.443839
               0.552,         16285.315039
               0.553,         16241.770633
               0.554,         16455.331265
               0.555,          16461.17017
               0.556,         16503.193534
               0.557,         16634.586855
               0.558,         16809.740946
               0.559,         16738.100935
                0.56,         16850.617788
               0.561,         16822.531383
               0.562,         16808.935063
               0.563,         16842.041179
               0.564,         16798.323619
               0.565,         16856.407166
               0.566,         16925.160577
               0.567,         16799.852216
               0.568,         16870.446715
               0.569,         16651.921094
                0.57,          16668.58246
               0.571,         16711.116254
               0.572,         16834.330773
               0.573,         16929.149911
